DateTime,TweetId,Text,Username,Language,Hashtags,Cords,ReplyCount,RetweetCount,LikeCount,QuoteCount,Media,Lat,Lon
2023-03-02 23:57:41+00:00,1631443692316655616,Tinubu's declaration turns Nigerians into mourning ☹️ up till now. Aisha Yesufu | death note | INEC | Hope Uzodinma | Okowa | Nairaland,dnservicesnig,en,,"Coordinates(longitude=7.1415877, latitude=4.803997)",0,0,0,0,,4.803997,7.1415877
2023-03-02 23:23:45+00:00,1631435152386555905,Kai! Some people did broad daylight magic practice. They forgot to hide their magic skills. Now they are hanging on the fence. INEC una try o @PeterObi @Naija_Activist #inecnigeria https://t.co/j8LMl8KamM,OnyekabaCR,en,['inecnigeria'],"Coordinates(longitude=7.3045544, latitude=8.961887)",0,0,0,0,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1631435136284729344/pu/img/RzBXzP1g4IiVwrbs.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1631435136284729344/pu/pl/kY7meVo38PXiKnRT.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/1631435136284729344/pu/vid/192x426/f0z3AbrHKbHpRVNX.mp4?tag=12', contentType='video/mp4', bitrate=632000)], duration=44.904, views=5, altText=None)]",8.961887,7.3045544
2023-03-02 23:23:21+00:00,1631435050259496960,@Obidients We need to contact this guy. Listen to how INEC rigged the Presidential Election. https://t.co/56y6pSinyq,Lianvogue,en,,"Coordinates(longitude=-77.252801, latitude=39.102707)",0,0,0,0,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1631435020035403777/pu/img/HNly8kH48QP_lANT.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1631435020035403777/pu/pl/PCIPeNQSWAOMs93F.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/1631435020035403777/pu/vid/426x240/IAeqhUX8S-Ga26M5.mp4?tag=12', contentType='video/mp4', bitrate=256000)], duration=44.904, views=1, altText=None)]",39.102707,-77.252801
2023-03-02 23:14:22+00:00,1631432788850163713,"I like the way everyone is acting like their parents aren’t in INEC, APC, PDP, CBN and other organizations that they abuse online. Una Welldone",slimthey_ray,en,,"Coordinates(longitude=4.4752509, latitude=8.4145568)",0,0,1,0,,8.4145568,4.4752509
2023-03-02 23:09:01+00:00,1631431445779562497,Nigerians are clearly within their rights to have such concerns and should have high expectations for their electoral processes. We join other international observers in urging INEC to improve in the areas that need the most attention ahead of the March 11 gubernatorial elections,AshajuJacob,en,,"Coordinates(longitude=7.550692, latitude=8.9793214)",1,0,0,0,,8.9793214,7.550692
2023-03-02 23:05:33+00:00,1631430573477560321,"This was contained in a statement issued by the spokesperson for the State Department, Ned Price, who also asked the Independent, INEC to address all the flaws observed in the exercise before the March 11 governorship and state house of assembly elections.",AshajuJacob,en,,"Coordinates(longitude=7.550692, latitude=8.9793214)",1,0,0,0,,8.9793214,7.550692
2023-03-02 23:05:33+00:00,1631430570193432583,"US urges INEC to correct errors ahead of the March 11 gubernatorial elections 

The United States has congratulated APC’s Bola Ahmed Tinubu on his win at the 2023 presidential elections that held on Saturday, February 25, 2023. https://t.co/QQiVB4Jabd",AshajuJacob,en,,"Coordinates(longitude=7.550692, latitude=8.9793214)",1,0,1,0,"[Photo(previewUrl='https://pbs.twimg.com/media/FqQBbuhXoAE8veE?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FqQBbuhXoAE8veE?format=jpg&name=orig', altText=None)]",8.9793214,7.550692
2023-03-02 23:05:01+00:00,1631430439482146819,"LIVE Update: INEC Officials Exposed Gov. Hope Uzodinma {Political Review} https://t.co/lneF2OA3ij via @YouTube INEC announced results, but no election",NaijamustBgreat,en,,"Coordinates(longitude=-78.872015, latitude=43.633252)",0,1,1,0,,43.633252,-78.872015
2023-03-02 22:58:00+00:00,1631428672182710273,@PeterObi Nigerian's President Vs INEC announcement https://t.co/fPiiOPibkF,kheengdaveed,en,,"Coordinates(longitude=3.2131467, latitude=6.4278856)",0,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/FqP_uwIWIAA-9bv?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FqP_uwIWIAA-9bv?format=jpg&name=orig', altText=None)]",6.4278856,3.2131467
2023-03-02 22:53:45+00:00,1631427601225990144,@UgoOsinobi From my polling unit before inec brings score allocations https://t.co/BRomyMvsgx,iampauleez1,en,,"Coordinates(longitude=2.6654364, latitude=6.287653)",0,0,15,0,"[Photo(previewUrl='https://pbs.twimg.com/media/FqP-wCWXgAELyWS?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FqP-wCWXgAELyWS?format=jpg&name=orig', altText=None)]",6.287653,2.6654364
